session_id,battery_level,screen_on,brightness,active_app_category,wifi_on,mobile_data_on,charging,cpu_usage,hours_remaining
0,84.2,1,55.8,2,0,0,0,55.8,5.58
0,82.9,1,75.0,2,0,0,0,42.2,4.68
0,81.4,1,85.0,2,0,0,0,46.8,4.97
0,80.1,1,64.7,2,0,0,0,53.0,5.15
0,78.7,1,69.7,2,0,0,0,69.1,4.39
0,77.1,1,80.7,2,0,0,0,44.9,5.16
0,75.9,1,70.7,2,0,0,0,59.9,5.28
0,74.6,1,78.6,2,0,0,0,59.4,4.4
0,73.1,1,88.4,2,0,0,0,48.2,5.05
0,71.9,1,79.9,2,0,0,0,54.2,3.79
0,70.3,1,80.0,4,0,0,0,82.9,4.36
0,68.9,1,64.7,1,0,0,0,93.5,3.53
0,67.3,1,78.0,3,0,0,0,58.9,3.12
0,65.3,1,94.3,2,0,0,0,85.3,3.25
0,63.6,1,76.6,4,0,0,0,74.8,4.29
0,62.5,1,83.2,1,0,0,0,68.9,3.7
0,60.9,1,79.5,3,0,0,0,92.5,2.42
0,59.1,1,60.9,2,0,0,0,88.1,2.94
0,57.3,1,89.1,4,0,0,0,59.3,3.1
0,55.8,1,92.3,4,0,0,0,67.7,3.11
0,54.2,1,61.8,2,0,0,0,94.7,2.9
0,52.6,1,90.9,2,0,0,0,81.5,2.98
0,51.2,1,64.9,1,0,0,0,61.1,3.96
0,50.0,1,80.0,4,0,0,0,60.8,4.05
0,48.9,1,87.8,4,0,0,0,63.0,3.0
0,47.3,0,0.0,0,0,0,0,5.0,11.25
0,47.1,0,0.0,0,0,1,0,7.6,7.54
0,46.6,0,0.0,0,0,1,0,11.3,6.82
0,46.0,0,0.0,0,0,1,0,4.3,7.81
0,45.5,0,0.0,0,0,1,0,10.7,7.96
0,44.8,0,0.0,0,0,1,0,2.7,7.79
0,44.5,0,0.0,0,0,1,0,3.7,8.36
0,44.0,0,0.0,0,0,1,0,7.9,7.09
0,43.5,0,0.0,0,0,1,0,2.4,8.97
0,43.3,0,0.0,0,0,0,0,5.7,9.85
0,43.0,1,90.6,2,0,0,0,74.3,2.19
0,41.4,1,73.1,2,0,0,0,70.0,2.36
0,39.9,1,68.8,2,0,0,0,48.1,2.7
0,38.6,1,92.7,2,0,0,0,72.1,2.3
0,37.1,1,74.0,2,0,0,0,62.2,2.47
0,35.7,1,77.6,2,0,0,0,43.3,2.16
0,34.1,1,85.2,2,0,0,0,67.8,1.69
0,32.3,1,52.9,4,0,0,0,41.3,2.44
0,31.2,1,34.8,5,0,0,0,28.1,2.77
0,30.2,1,60.5,1,0,0,0,34.5,2.28
0,29.1,1,82.8,2,0,0,0,59.4,1.52
0,27.5,1,92.8,2,0,0,0,44.1,1.44
0,25.8,1,70.4,2,0,1,0,68.9,1.22
0,24.2,1,55.0,2,0,1,0,74.9,1.11
0,22.5,1,54.1,2,0,1,0,71.4,1.33
0,21.2,1,79.5,2,0,1,0,41.3,1.53
0,19.8,1,52.6,2,0,1,0,68.0,1.0
0,18.2,1,55.6,2,1,1,0,57.7,0.93
0,16.5,1,62.2,2,1,1,0,64.8,0.55
0,14.7,1,81.9,2,0,1,0,46.1,0.84
0,13.2,1,75.8,2,0,1,0,45.1,0.61
0,11.4,1,56.7,2,0,1,0,57.8,0.96
0,10.2,1,33.3,4,0,1,0,20.3,0.58
0,8.9,1,29.2,4,1,1,0,15.6,0.71
0,7.8,1,38.6,4,1,1,0,20.8,0.93
1,81.6,1,94.3,3,0,0,0,84.3,4.29
1,80.1,1,24.4,4,0,0,0,28.6,7.92
1,79.1,1,18.6,4,0,0,0,34.0,6.08
1,77.9,1,34.2,4,0,0,0,10.3,7.9
1,77.2,1,31.7,1,0,0,0,34.8,7.13
1,76.2,1,66.0,4,0,0,0,62.2,4.67
1,74.7,1,79.7,1,0,0,0,64.7,4.29
1,73.2,1,74.7,1,0,0,0,76.6,4.77
1,72.0,1,96.4,2,0,0,0,89.0,3.78
1,70.4,1,73.6,3,0,0,0,62.7,3.99
1,69.0,1,71.1,1,0,1,0,80.4,3.58
1,67.5,1,98.5,3,0,1,0,86.3,2.67
1,65.5,1,98.8,1,0,1,0,66.5,3.1
1,63.7,1,78.6,4,0,1,0,94.1,3.48
1,62.3,1,92.9,1,0,1,0,69.9,3.8
1,61.0,1,89.6,1,0,1,0,87.0,3.64
1,59.8,1,87.1,3,1,1,0,71.1,2.5
1,57.6,1,72.0,1,1,1,0,78.6,3.15
1,56.0,1,88.7,2,1,1,0,94.9,2.71
1,54.3,1,83.8,4,1,1,0,70.7,2.93
1,52.6,1,60.7,2,1,1,0,80.4,2.75
1,50.9,1,95.9,2,1,1,0,64.4,2.71
1,49.2,1,72.0,4,1,1,0,67.9,3.48
1,47.9,1,79.1,1,1,1,0,94.8,2.25
1,46.2,1,98.2,4,1,1,0,72.3,2.51
1,44.7,1,30.5,4,1,1,0,17.8,3.7
1,43.8,1,75.8,1,1,1,0,55.1,2.66
1,42.5,1,77.3,2,1,1,0,86.2,1.85
1,40.7,1,69.1,3,1,1,0,92.2,1.82
1,39.0,1,96.8,2,0,1,0,55.4,2.37
1,37.4,1,83.6,3,0,1,0,55.2,1.83
1,35.5,1,96.8,4,0,1,0,73.2,2.18
1,34.0,1,84.0,2,0,1,0,71.6,1.95
1,32.5,1,89.0,1,1,1,0,83.3,1.76
1,30.8,1,87.7,1,1,1,0,75.3,1.4
1,29.0,1,95.9,1,1,1,0,90.2,1.26
1,27.3,1,63.4,1,1,1,0,45.8,1.94
1,26.0,1,57.1,1,1,1,0,50.4,1.51
1,24.5,1,61.8,2,1,0,0,39.3,1.76
1,23.2,1,37.1,4,1,0,0,32.0,1.68
1,21.9,1,45.2,2,1,0,0,51.0,1.33
1,20.6,1,54.5,2,1,0,0,47.2,1.13
1,19.4,1,67.8,2,1,0,0,51.2,1.23
1,17.8,1,58.9,2,1,0,0,53.2,1.1
1,16.5,1,61.0,2,1,0,0,43.5,0.95
1,15.0,1,71.1,2,1,0,0,49.1,0.86
1,13.8,1,61.4,2,1,0,0,50.3,0.76
1,12.3,1,53.2,2,1,0,0,44.8,0.74
1,10.8,1,57.4,2,1,0,0,48.9,0.88
1,9.5,1,68.2,2,1,0,0,66.6,0.73
1,7.8,1,88.1,2,1,0,0,46.3,0.54
1,6.3,1,65.3,2,1,0,0,58.6,0.11
1,5.0,1,73.3,2,1,0,0,57.2,0.34
1,3.5,0,0.0,0,1,0,0,11.5,0.8
1,2.9,0,0.0,0,0,0,0,11.2,0.76
1,2.7,0,0.0,0,0,0,0,11.9,0.0
1,2.1,0,0.0,0,0,0,0,2.5,0.47
1,2.0,0,0.0,0,0,0,0,11.2,0.43
1,1.6,0,0.0,0,0,0,0,6.6,0.38
1,1.3,0,0.0,0,0,0,0,9.3,0.23
2,63.1,1,70.2,2,1,0,0,71.2,3.32
2,61.4,1,66.5,2,1,0,0,65.8,3.62
2,60.1,1,79.1,2,1,0,0,52.0,3.61
2,58.7,1,60.8,3,1,0,0,68.1,3.05
2,56.9,1,71.0,4,1,0,0,66.3,3.44
2,55.6,1,84.4,1,1,0,0,65.2,3.32
2,54.2,1,76.0,3,1,1,0,79.4,2.49
2,52.4,1,85.3,4,1,1,0,68.4,3.05
2,51.0,1,90.6,1,1,1,0,74.2,2.92
2,49.5,1,76.4,4,1,1,0,63.8,2.75
2,47.8,1,19.1,5,1,1,0,12.9,3.81
2,46.7,1,43.0,5,1,1,0,34.5,3.74
2,45.7,1,18.4,5,1,1,0,14.4,3.73
2,44.8,1,45.0,5,1,1,0,22.9,3.78
2,43.8,1,16.5,4,1,1,0,18.8,2.92
2,42.6,1,39.0,5,1,1,0,22.3,2.84
2,41.3,1,16.6,1,1,1,0,20.9,2.8
2,40.1,1,40.8,1,1,1,0,30.6,2.55
2,39.0,1,37.6,1,1,1,0,28.8,2.32
2,37.6,1,17.6,4,1,1,0,14.4,3.43
2,36.6,1,28.5,5,1,1,0,31.9,2.0
2,35.2,1,37.0,4,1,1,0,24.2,2.85
2,34.2,0,0.0,0,1,1,0,4.6,5.35
2,33.5,0,0.0,0,1,1,0,7.2,5.45
2,32.9,0,0.0,0,1,1,0,8.5,5.41
2,32.5,0,0.0,0,1,1,0,4.2,4.69
2,31.9,0,0.0,0,1,1,0,6.2,5.33
2,31.3,0,0.0,0,1,1,0,5.6,5.26
2,30.8,0,0.0,0,1,1,0,3.1,5.05
2,30.2,0,0.0,0,1,1,0,7.3,3.81
2,29.6,0,0.0,0,1,1,0,10.1,4.66
2,29.0,0,0.0,0,1,1,0,6.0,4.28
2,28.5,0,0.0,0,1,1,0,7.9,4.36
2,28.0,0,0.0,0,1,1,0,5.9,4.62
2,27.7,0,0.0,0,1,1,0,5.2,4.41
2,27.3,0,0.0,0,1,1,0,4.1,4.11
2,26.7,0,0.0,0,1,1,0,8.7,4.8
2,26.2,0,0.0,0,1,0,0,2.4,5.11
2,25.8,0,0.0,0,1,0,0,6.7,5.93
2,25.3,0,0.0,0,1,0,0,4.7,5.53
2,24.7,0,0.0,0,1,0,0,10.6,4.97
2,24.3,0,0.0,0,1,0,0,6.8,4.26
2,23.7,0,0.0,0,1,0,0,3.2,4.3
2,23.3,0,0.0,0,1,1,0,7.2,3.72
2,22.7,0,0.0,0,1,1,0,2.4,3.62
2,22.0,1,43.4,1,1,1,0,30.2,1.35
2,20.7,1,27.9,4,1,1,0,10.9,1.42
2,19.8,1,61.8,2,1,1,0,88.5,1.22
2,18.5,1,82.7,4,1,1,0,70.9,1.17
2,16.8,1,98.6,1,1,1,0,89.7,0.56
2,15.1,1,91.8,1,1,1,0,76.8,0.82
2,13.6,1,75.5,2,1,1,0,70.7,0.62
2,12.2,1,61.4,2,1,1,0,61.3,0.99
2,10.9,1,69.5,3,1,1,0,61.1,0.48
2,9.3,1,68.1,1,1,1,0,87.0,0.24
