method,n,target,MAE_h,MAE_h_ci95_low,MAE_h_ci95_high,RMSE_h,RMSE_h_ci95_low,RMSE_h_ci95_high,ME_h,C_index,C_index_ci95_low,C_index_ci95_high,Acc_within_1h,Acc_within_2h
tinyml,2827,y_extrap,4.277,4.036,4.526,8.377,7.668,9.029,+1.453,0.6660,0.6564,0.6746,0.2883,0.5108
random_forest,2827,y_extrap,4.009,3.792,4.246,7.544,6.953,8.106,+1.488,0.6857,0.6731,0.6962,0.2947,0.4517
mean_const,2827,y_extrap,6.510,6.284,6.748,9.277,8.719,9.828,+4.481,0.5000,0.5000,0.5000,0.0980,0.2168
linear,2827,y_extrap,3.215,2.931,3.486,8.551,7.611,9.403,-2.453,0.7758,0.7668,0.7842,0.3764,0.5830
exponential,2827,y_extrap,3.487,3.198,3.757,8.876,7.957,9.677,-1.719,0.7730,0.7642,0.7812,0.3817,0.5978
google,2827,y_extrap,3.244,2.969,3.524,8.553,7.630,9.403,-2.226,0.7770,0.7671,0.7850,0.4001,0.6006
tinyml,2827,y_real,6.999,6.847,7.140,8.113,7.972,8.242,+6.997,0.5043,0.4922,0.5168,0.0952,0.1592
random_forest,2827,y_real,7.032,6.868,7.208,8.408,8.237,8.604,+7.032,0.4499,0.4405,0.4594,0.0729,0.1846
mean_const,2827,y_real,10.025,9.976,10.075,10.120,10.078,10.163,+10.025,0.5000,0.5000,0.5000,0.0000,0.0000
linear,2827,y_real,3.200,3.086,3.315,4.500,4.318,4.673,+3.091,0.5884,0.5772,0.5979,0.2717,0.4673
exponential,2827,y_real,3.892,3.728,4.048,6.035,5.649,6.414,+3.825,0.5791,0.5673,0.5895,0.2381,0.4489
google,2827,y_real,3.335,3.199,3.463,4.819,4.598,5.025,+3.318,0.5724,0.5624,0.5816,0.2596,0.5062
